Country,Year,Coffee Consumption (kg per capita per year),Average Coffee Price (USD per kg),Type of Coffee Consumed,Population (millions)
Country_39,2023,9.25393898058043,6.467453002363636,Americano,65.92947787799916
Country_29,2011,9.981202707003789,4.346744038378242,Mocha,82.4566803256807
Country_15,2020,3.3129155167663225,8.76749607084824,Latte,110.93886185508133
Country_43,2005,2.436180471026238,11.748750027123549,Espresso,43.13720708676692
Country_8,2019,4.637848857169699,8.999098575256165,Mocha,65.48426225398772
Country_21,2004,5.693273446091323,9.059761448623924,Latte,119.11865996978378
Country_39,2022,3.638569976606836,11.367855453621516,Latte,138.46090217862474
Country_19,2008,4.411399294388468,6.798276891113539,Mocha,133.80712298443183
Country_23,2015,3.6069658855332616,12.270787708061752,Latte,72.16701186201222
Country_11,2021,8.19408454745961,5.684248839963068,Mocha,78.60900375331319
Country_11,2013,7.700623545978086,8.353256658145865,Latte,79.83671088067175
Country_24,2021,7.079612126087854,11.216089193180098,Latte,130.43861988641524
Country_36,2007,5.097742856633638,13.112059079532175,Latte,126.15098653376212
Country_40,2019,9.272327530513888,12.706841782815609,Mocha,47.418346753256415
Country_24,2018,9.75626033228016,11.938541592384677,Latte,25.264603723883255
Country_3,2013,3.389114501003296,7.950060218900301,Americano,57.46720966232314
Country_22,2006,3.7841011312950243,5.345347479230963,Americano,43.97255110416077
Country_2,2004,6.205048224002957,6.3851763946228965,Americano,142.66632799742152
Country_24,2017,2.7300045542579623,13.513171960341335,Americano,40.62143623635909
Country_44,2001,5.4915871905849025,13.430645071459255,Americano,27.999795577313396
Country_30,2010,6.654330118221681,14.467169377929174,Espresso,135.0223803213231
Country_38,2021,6.176588569098665,4.835875170850958,Latte,13.885312049054582
Country_2,2007,4.6472686646242085,9.904899938052017,Cappuccino,39.779641662542566
Country_21,2000,6.339566448617655,11.135513493946569,Espresso,66.42756790608767
Country_33,2021,9.670407634070783,11.817231147735423,Mocha,89.67099934579262
Country_12,2011,3.6481392343310084,11.082495585114732,Espresso,49.823261559622644
Country_22,2001,7.238650867152029,12.470125288925102,Cappuccino,74.93886554122975
Country_44,2017,2.347173553248415,7.9541873391827576,Espresso,30.625846778160366
Country_25,2006,2.5313312358514795,5.973760493490303,Latte,86.56684391359732
Country_49,2016,6.41462579378868,6.250417093654824,Americano,61.764704433669266
Country_27,2021,2.8395134426235957,4.1317655841718075,Latte,127.5396934029991
Country_42,2022,2.1787743074148587,7.853540593168446,Espresso,62.94438587490921
Country_28,2013,3.3721039811841775,5.00918455967975,Cappuccino,67.12849726442549
Country_16,2023,6.5187933679965955,7.5363756206921,Mocha,89.23407341201947
Country_15,2006,7.626727636151459,10.910310848828725,Latte,19.352330607464275
Country_47,2021,3.61982851313104,13.83925861145502,Cappuccino,24.36248132923588
Country_44,2002,7.346075497665396,13.235659960895681,Mocha,118.74542433685882
Country_3,2005,3.4598106487938347,6.779416331533346,Americano,41.73939809179251
Country_37,2019,6.907659413050057,5.474914564178516,Latte,103.01984241033995
Country_7,2001,5.295677439166391,6.123795011764044,Latte,15.516618526603118
Country_21,2016,7.230396074668934,14.680853170939676,Americano,123.45515238738396
Country_9,2011,9.960422019833977,10.0442192765404,Americano,148.2459885269246
Country_39,2011,9.502535721860497,6.007524453006323,Espresso,56.679950835959865
Country_18,2016,2.034254062688829,13.248207701554966,Mocha,76.3239851853196
Country_4,2009,9.083510114898445,8.347103687438103,Cappuccino,66.96408499613054
Country_25,2002,2.531926361398132,13.891443671722001,Americano,134.2339745472145
Country_14,2019,9.62437268927876,6.867448395179352,Espresso,2.480171616835063
Country_50,2017,4.254605432797478,8.325439346846597,Mocha,98.36543885341158
Country_9,2012,5.056278643290168,9.55442539069093,Mocha,98.2028726477264
Country_26,2011,2.733105641405823,13.818768674979347,Latte,57.97536623639501
Country_2,2016,2.8981820666312768,13.556331747655614,Espresso,33.68071267543517
Country_20,2003,7.813924521834557,10.317905773342657,Espresso,36.71271953084032
Country_28,2022,9.554657885986334,6.439530607589798,Latte,120.26915406086978
Country_47,2009,6.885987959634476,8.436926689116627,Cappuccino,10.849361359868896
Country_7,2010,7.726800124214488,14.731963719020559,Americano,85.00979779487949
Country_44,2005,8.095757956777227,10.685505462651424,Latte,46.71924984376157
Country_8,2005,4.102514196423534,12.592075306366164,Americano,40.52192405777974
Country_47,2008,2.3618370473617194,8.948511648975618,Espresso,76.35491216412436
Country_35,2014,2.0149819513533487,9.85208003013487,Latte,134.78136443568528
Country_14,2001,4.805194263632149,8.718495234557984,Cappuccino,93.0956959365623
Country_17,2003,3.9317138255937287,11.732130978681647,Americano,118.50298353554321
Country_36,2004,2.498541800393485,13.36618115275565,Americano,90.50188311016926
Country_50,2016,3.436226339949334,9.580998975470198,Americano,104.95965120103837
Country_40,2007,2.9959911861435824,9.289542044998484,Espresso,65.42873967020105
Country_4,2007,9.319027044938963,7.743151138082366,Americano,138.9712636460194
Country_2,2021,3.1221377076733514,5.948063637234922,Mocha,75.78891404543498
Country_6,2011,6.3011877119014335,14.331724951626198,Americano,83.21442571478771
Country_42,2020,6.744847640897317,7.476876905474555,Espresso,79.21985998497259
Country_4,2007,6.34791566166907,12.80760609931714,Latte,48.11216400457285
Country_29,2018,2.792451473727904,11.868817234162215,Americano,35.454526904278666
Country_18,2002,4.55038689400441,12.70009360305942,Americano,12.001409653217697
Country_26,2017,2.410162659705226,14.304449467093127,Latte,108.00807231837975
Country_44,2020,5.165359312770528,10.85707836242987,Mocha,44.10201421238524
Country_34,2018,3.508791450172736,13.87745377720249,Espresso,58.99049651614547
Country_10,2018,6.493060266275038,5.844670552035231,Latte,138.06929624620568
Country_36,2014,7.542467150792804,10.893838335524663,Espresso,85.40065506236918
Country_14,2005,6.256958881637652,12.495031742060739,Latte,15.4646315216868
Country_31,2015,5.473893572891166,6.988052438185915,Cappuccino,120.1421750107536
Country_48,2007,5.098667366853539,12.148291814211614,Mocha,39.163459267308866
Country_15,2015,8.73353414477603,12.563245120278605,Cappuccino,83.35317055428119
Country_8,2017,3.7549445205221605,13.143067516180892,Latte,76.9872397547346
Country_14,2019,7.873746716230951,7.441712038555261,Latte,36.47374751043022
Country_23,2015,8.059858597920952,11.4976724918514,Espresso,18.249884184392577
Country_40,2010,5.353600058165876,7.346786117507383,Latte,32.47797936775024
Country_21,2006,4.378404793805115,12.129444262483009,Espresso,15.503332135030874
Country_16,2016,5.764331888367802,9.092710316602835,Espresso,42.06857482386308
Country_45,2016,2.745711407141588,10.572988119799419,Latte,149.59732909988222
Country_18,2011,2.36744025783272,8.574239795736258,Espresso,60.911747520965996
Country_47,2012,2.8928255956151343,5.781812196228067,Mocha,129.71937030891652
Country_24,2009,3.4971602516978093,5.958324825659,Cappuccino,82.82747612723016
Country_26,2006,6.033414562704344,4.853257979883479,Latte,100.32087882072621
Country_25,2013,8.793093089288977,10.79879947693828,Espresso,24.295847492832873
Country_45,2022,3.885138655997496,13.335022377483652,Espresso,41.94607424587434
Country_41,2000,9.481296085974225,4.229205088882891,Espresso,77.0560700313099
Country_29,2016,9.639263271480027,4.7286345229718885,Espresso,132.29037169979924
Country_15,2003,9.671236838761642,9.032136915332014,Mocha,7.390317346856085
Country_45,2020,8.700501877410591,12.114928097850083,Latte,76.53107397529241
Country_1,2004,4.910600326381765,5.7347840918314645,Latte,8.600819663756056
Country_25,2019,2.5814712880209845,6.988164515041133,Mocha,69.0665787909431
Country_7,2023,6.550549854131959,6.5520682140998785,Mocha,94.70135574056289
Country_9,2022,6.46945155149787,8.389563405382695,Mocha,111.96375552281779
Country_24,2006,8.799806136876764,6.474985447193283,Latte,21.64126878383338
Country_1,2009,9.967928407568841,7.878585463992283,Americano,25.819717235740864
Country_44,2016,6.065258452481181,12.013968585281386,Cappuccino,71.0396733320768
Country_8,2006,4.761632248318274,10.72110173299608,Mocha,149.70743223888203
Country_24,2000,3.487213692450136,4.892998759308622,Mocha,54.05097851285775
Country_11,2006,2.038398598538966,11.015202328702895,Latte,64.70158667707364
Country_17,2023,6.072909539911033,9.24784888715135,Latte,65.43456467936818
Country_8,2010,6.444149333620766,14.280221321778527,Cappuccino,13.02442238220722
Country_35,2008,8.599507838539179,7.182347488144586,Espresso,116.3516496482093
Country_35,2011,6.036615743142405,11.98783061669076,Latte,38.71212713949001
Country_33,2002,9.331746789328452,12.039469053490269,Cappuccino,105.84639147555507
Country_5,2003,7.024667812571484,6.436508591101061,Latte,71.78839194650301
Country_42,2003,8.722689905768664,13.935459874680298,Latte,92.15518159068822
